station_coordinates,station_name,station_slug,station_type,transport_type,transport_index
"[48.89462433307477, 2.3142338462894245]",Porte de Clichy,Porte de Clichy,TRAMWAY,TRAM 3b,3B
"[48.85190531802241, 2.3979973148307456]",Avron,Avron,METRO,METRO 2,2
"[48.7966821340621, 2.449412805145807]",Créteil–L’Échat,Créteil–L’Échat,METRO,METRO 8,8
"[48.87600859287756, 2.344572482089328]",Cadet,Cadet,METRO,METRO 7,7
"[48.89465585739898, 2.382160158371537]",Corentin Cariou,Corentin Cariou,METRO,METRO 7,7
"[48.883193320365734, 2.3719331286142937]",Jaurès,Jaurès,METRO,METRO 5,5
"[48.884970561831835, 2.3787169232246446]",Laumière,Laumière,METRO,METRO 5,5
"[48.884798251049716, 2.369580855577829]",Stalingrad,Stalingrad,METRO,METRO 7,7
"[48.88222543299418, 2.3382334685046167]",Pigalle,Pigalle,METRO,METRO 2,2
"[48.87059047707668, 2.348491131078988]",Bonne Nouvelle,Bonne Nouvelle,METRO,METRO 8,8
"[48.86943888072466, 2.308607493526255]",Franklin D. Roosevelt,Franklin D. Roosevelt,METRO,METRO 1,1
"[48.93805733018905, 2.360792492279712]",Basilique de Saint-Denis,Basilique de Saint-Denis,TRAMWAY,TRAM 1,1
"[48.93499415964387, 2.326951043779735]",La Noue,La Noue,TRAMWAY,TRAM 1,1
"[48.872154105379316, 2.068709986317736]",L'Etang - Les Sablons,L'Etang - Les Sablons,TRAMWAY,TRAM 13,13
"[48.880991439816405, 2.079177394694268]",Mareil-Marly,Mareil-Marly,TRAMWAY,TRAM 13,13
"[48.8947371484425, 2.069974306780277]",Fourqueux - Bel Air,Fourqueux - Bel Air,TRAMWAY,TRAM 13,13
"[48.867950141858145, 2.0508259503050965]",Saint-Nom La Bretèche - Forêt de Marly,Saint-Nom La Bretèche - Forêt de Marly,TRAMWAY,TRAM 13,13
"[48.761224561446234, 2.291974812661954]",LaVallée,LaVallée,TRAMWAY,TRAM 10,10
"[48.762970469556166, 2.3047519014655236]",La Croix de Berny,La Croix de Berny,TRAMWAY,TRAM 10,10
