station_coordinates,station_type_voie,station_dep,line_separation
"[48.82115980097031, 2.3699857097227834]",VSU1,75,FR
"[48.85737194520624, 2.346606854491386]",VSU1,75,FR
"[48.83789516007502, 2.317759269345058]",VSU1,75,FR
"[48.84216909278963, 2.3101600605158654]",VSU1,75,FR
"[48.82583908916615, 2.3262323859916005]",VDS,75,FR
"[48.82433433689507, 2.3258701159653508]",VDS,75,FR
"[48.88634192051341, 2.3715308868433462]",VDS,75,FR
"[48.85175416441497, 2.327921291445388]",VSU1,75,FR
"[48.83687760265555, 2.350640274479132]",VDS,75,PR
"[48.88405638071616, 2.32863559172307]",VDS,75,FR
"[48.85104008312282, 2.348173807861937]",VSU1,75,FR
"[48.84170679566346, 2.363245628432864]",VDS,75,PR
"[48.84658701844275, 2.3170040858570897]",VDS,75,FR
"[48.87220930070506, 2.3307934096382037]",VSU1,75,FR
"[48.87844733305297, 2.354101650829385]",VDS,75,PR
"[48.83414464308084, 2.308299415863275]",VSU1,75,FR
"[48.8574415923518, 2.3507354554917717]",VSU1,75,FR
"[48.833580000952566, 2.332230309980872]",VSU1,75,FR
"[48.84235460117019, 2.3759112145309857]",VDSC,75,FR
"[48.84557987108837, 2.3717770998343317]",VDS,75,FR
"[48.84940733137403, 2.371173555705614]",VSU1,75,PR
"[48.849395127582994, 2.3707825276190895]",VSU1,75,FR
"[48.8758744525142, 2.281127283115653]",VSU1,75,FR
"[48.84991800075146, 2.280671559694781]",VDS,75,FR
"[48.84875154809494, 2.3211819356712704]",VSU1,75,FR
"[48.8677769992127, 2.3534009941881884]",VSU1,75,PR
"[48.8579669150919, 2.3038964709085663]",VSU2,75,FR
"[48.86622115182111, 2.352573214332409]",VSU1,75,FR
"[48.84485306818679, 2.311314570114128]",VSU1,75,FR
"[48.84439282876865, 2.439455985480651]",VSU1,75,FR
"[48.83886467141352, 2.369788450164798]",VDS,75,FR
"[48.84896320713065, 2.407127915089342]",VSU2,75,FR
"[48.848296240211674, 2.4077549374231726]",VSU1,75,FR
"[48.855998391299075, 2.3027504460762582]",VSU2,75,FR
"[48.867748304703774, 2.3437800749600686]",VDSC,75,FR
"[48.8768544726422, 2.3555170119505817]",VDS,75,FR
"[48.86510303437987, 2.3203173438932208]",VSU1,75,FR
"[48.86513782470457, 2.3027786391903637]",VDSC,75,FR
"[48.86228091952923, 2.293490235838056]",VDS,75,FR
"[48.8786461870083, 2.4007783936080207]",VSU1,75,FR
"[48.85484286724086, 2.339427173325447]",VSU1,75,FR
"[48.87766343352239, 2.3554129826702965]",VSU1,75,PR
"[48.875160903658504, 2.357489788968609]",VSU1,75,PR
"[48.88091435693012, 2.3631350729349045]",VDS,75,FR
"[48.84692252914047, 2.4126190245561414]",VDS,75,PR
"[48.85691369150337, 2.4148561838323133]",VSU2,75,FR
